Date,low,high,open,close,volume
1421362800,203.97,211.91,206.24,204.22,0.8000000000000005
1421359200,203.43,211.79,210.56,204.82,0.8100000000000005
1421352000,199.0,224.0,199.0,224.0,0.16512074000000004
1421294400,150.0,150.0,150.0,150.0,0.0722
1421283600,191.99,192.0,191.99,192.0,1.13000002
1421262000,120.0,188.0,186.0,120.0,0.26463780000000003
1421258400,186.0,186.0,186.0,186.0,0.0153622
1421251200,110.2,197.97,193.43,185.91,1.1800000000000008
1421247600,110.0,196.6,168.1,172.95,1.430000000000001
1421244000,109.87,197.07,133.65,155.58,1.360000000000001
1421240400,113.5,196.21,161.57,191.73,1.380000000000001
1421236800,110.82,197.15,176.19,147.56,1.440000000000001
1421233200,110.66,198.0,149.59,193.75,1.370000000000001
1421229600,110.13,199.0,136.73,180.29,1.400000000000001
1421226000,111.53,197.27,186.97,153.59,1.1600000000000008
1421222400,109.94,194.94,109.94,113.06,0.18000000000000002
1421218800,199.0,204.0,204.0,199.0,0.05
1421215200,217.63,220.0,220.0,217.63,0.04463778
1421204400,219.63,221.0,221.0,219.63,0.02
1421193600,200.0,200.0,200.0,200.0,0.01
1421118000,260.0,260.0,260.0,260.0,1.0
1420747200,266.5,314.72,302.64,288.99,0.36000000000000015
1420704000,267.6,314.6,271.13,289.25,0.7900000000000005
1420700400,265.54,314.11,289.39,266.57,1.390000000000001
1420696800,265.5,314.91,297.08,314.91,1.390000000000001
1420693200,265.51,314.96,314.96,275.44,1.440000000000001
1420689600,264.81,314.85,288.06,307.57,1.270000000000001
1420686000,268.26,320.0,284.11,285.88,1.460000000000001
1420682400,269.06,348.43,334.27,271.84,1.460000000000001
1420678800,270.35,360.0,360.0,283.25,0.7900000000000005
1422043200,232.0,235.0,232.0,235.0,0.1
1422036000,215.0,215.0,215.0,215.0,0.020000999999999998
1422032400,230.0,230.0,230.0,230.0,0.060000000000000005
1421906400,217.59,239.67,217.59,226.32,0.03
1421892000,216.67,257.73,225.0,246.62,3.039999999999989
1421888400,216.59,255.06,245.5,229.97,1.290000000000001
1421881200,220.0,225.51,220.0,225.51,0.10270722
1421798400,219.0,224.0,219.0,224.0,0.035
1421794800,217.0,218.0,217.0,218.0,0.02
1421780400,208.0,208.0,208.0,208.0,0.01
1421776800,215.0,215.0,215.0,215.0,0.01
1421636400,225.51,225.51,225.51,225.51,0.01
1421625600,210.0,210.0,210.0,210.0,0.4
1421517600,184.0,210.0,188.0,184.0,0.059000000000000004
1421514000,195.0,210.0,195.0,210.0,0.03
1421456400,210.0,210.0,210.0,210.0,0.023
1421449200,196.68,209.09,201.7,199.46,0.11999999999999998
1421445600,196.9,209.82,202.77,205.49,1.360000000000001
